iter	R2	RMSE
214	0.8375832636	18791049.41
215	0.8376764234	18785659.51
216	0.8383269918	18747976.67
217	0.8386506566	18729200.81
218	0.8387465919	18723631.96
219	0.8388588217	18717115.15
220	0.8393306039	18689695.49
221	0.8394222517	18684364.31
222	0.8396414569	18671606.91
223	0.840163785	18641173.05
224	0.8403215498	18631970.99
225	0.8406358796	18613623.27
226	0.8409617158	18594584.81
227	0.8410560318	18589070.33
228	0.841176723	18582011.35
229	0.8414791451	18564311.53
230	0.841792162	18545973.83
231	0.8419342382	18537644.49
232	0.8422235196	18520673.55
233	0.8424863709	18505239.64
234	0.8427329227	18490751.1
235	0.8429478647	18478110.83
236	0.8431243528	18467725.47
237	0.843416562	18450517.72
238	0.8436175029	18438675.3
239	0.8438937216	18422383.97
240	0.8442900398	18398983.99
241	0.8444239453	18391071.03
242	0.8449773384	18358332.83
243	0.8452914503	18339724.28
244	0.845470959	18329081.38
245	0.8457422695	18312983.9
246	0.8459002029	18303606.83
247	0.8460228302	18296322.69
248	0.8463694617	18275716.86
249	0.846831811	18248195.85
250	0.8472797902	18221490.58
251	0.8475718102	18204061.37
252	0.8479774627	18179822.27
253	0.8481654691	18168577.29
254	0.848389516	18155167.58
255	0.848686466	18137379.16
256	0.8490463056	18115800.02
257	0.849249725	18103589.83
258	0.8494746838	18090077.15
259	0.8496503104	18079520.7
260	0.84988734	18065263.69
261	0.8501066131	18052064.69
262	0.8502140227	18045595.71
263	0.8503901454	18034983.33
264	0.8505414804	18025859.55
265	0.8506391547	18019968.45
266	0.8507303057	18014469.05
267	0.8507535647	18013065.5
268	0.8507741513	18011823.12
269	0.850793172	18010675.17
270	0.8510013144	17998108.41
271	0.8510699611	17993961.88
272	0.8512106103	17985463.15
273	0.8512276058	17984435.92
274	0.8513169195	17979036.75
275	0.8513353458	17977922.64
276	0.8516315958	17960001.04
277	0.8518656578	17945828.84
278	0.8522015717	17925470.05
279	0.8522916466	17920006.93
280	0.8523652678	17915540.5
281	0.8526308757	17899417.43
282	0.8527551547	17891868.39
283	0.8528520469	17885980.69
284	0.8529396345	17880656.71
285	0.8530522191	17873810.98
286	0.8531589008	17867321.76
287	0.8532410473	17862323.35
288	0.8533528113	17855520.54
289	0.8534415219	17850119.09
290	0.8535120372	17845824.37
291	0.8537215182	17833059.84
292	0.8539177389	17821095.03
293	0.8541920318	17804356.18
294	0.8542697234	17799612.16
295	0.8545017132	17785438.81
296	0.8546270879	17777774.37
297	0.8547965798	17767407.69
298	0.8548936299	17761469.07
299	0.8552276826	17741012.75
300	0.8553167112	17735556.94
301	0.855465016	17726464.86
302	0.8555437189	17721637.96
303	0.8556843959	17713006.85
304	0.856316208	17674190.65
305	0.856490869	17663445.07
306	0.8567390827	17648163.09
307	0.8568164382	17643397.78
308	0.8569275678	17636549.63
309	0.8570163334	17631077.71
310	0.8571636426	17621993.15
311	0.8575084221	17600712.25
312	0.8576566191	17591557.14
313	0.8579688092	17572255.48
314	0.8581464558	17561262.73
315	0.8584609583	17541784.45
316	0.8586173645	17532089.59
317	0.8588188461	17519592.82
318	0.8589588947	17510901.14
319	0.8590859639	17503011.25
320	0.8593522528	17486465.48
321	0.8594766545	17478730.46
322	0.8596363354	17468796.83
323	0.8598325963	17456579.85
324	0.8599349719	17450203.71
325	0.860106673	17439504.61
326	0.8602249204	17432132.53
327	0.8603198836	17426209.82
328	0.8605175011	17413878.28
329	0.8606550801	17405288.04
330	0.8607214817	17401140.51
331	0.8608663782	17392086.63
332	0.8609815598	17384886.13
333	0.8613421191	17362326.71
334	0.8614968091	17352639.1
335	0.8616364324	17343890.4
336	0.8617807653	17334841.97
337	0.8618386135	17331214.06
338	0.8619436329	17324625.89
339	0.8620160857	17320079.26
340	0.8621219849	17313431.62
341	0.8622224565	17307122.33
342	0.8624548548	17292519.65
343	0.8626714456	17278899.12
344	0.8627844303	17271789.69
345	0.8629058488	17264146.33
346	0.8630684807	17253903.24
347	0.8632792046	17240622.12
348	0.8633892177	17233684.34
349	0.8634842491	17227689.11
350	0.8636754601	17215619.89
351	0.8638608322	17203911.13
352	0.863955802	17197909.42
353	0.8640654344	17190978.48
354	0.8642206495	17181161.03
355	0.8642784752	17177502.08
356	0.8643326371	17174074.26
357	0.8644084135	17169277.34
358	0.8644786858	17164827.65
359	0.864558827	17159751.65
360	0.8646045629	17156854.14
361	0.8647463635	17147867.54
362	0.8648484648	17141393.96
363	0.864903064	17137931.18
364	0.8651026559	17125266.73
365	0.8652321502	17117045.08
366	0.865335056	17110508.73
367	0.8655516531	17096742.79
368	0.8657228148	17085856.68
369	0.8658631053	17076928.85
370	0.8660659143	17064014.18
371	0.8662367522	17053127.82
372	0.8663980378	17042843.78
373	0.8665093812	17035740.58
374	0.8665421237	17033651.19
375	0.8666135479	17029092.53
376	0.8667107617	17022885.88
377	0.86673926	17021065.97
378	0.866869424	17012751.18
379	0.8670066049	17003983.75
380	0.8670617943	17000455.24
381	0.8672417573	16988944.29
382	0.8673890299	16979518.52
383	0.8675082283	16971885.71
384	0.8676516379	16962698.01
385	0.8676960963	16959848.72
386	0.8678421532	16950484.72
387	0.8679098648	16946141.84
388	0.8681169153	16932855.14
389	0.8682450559	16924626.97
390	0.8683990396	16914734.07
391	0.8684889489	16908955.04
392	0.8685815096	16903003.52
393	0.8686581306	16898075.31
394	0.8687118403	16894619.89
395	0.8688265368	16887238.51
396	0.8689727285	16877825.54
397	0.8691525359	16866240.93
